frame_index,timestamp_sec,time_normalized,speed_relative,acceleration_relative,jerk_proxy,curvature,step_relative,pose_jump,bspline_residual,rts_residual,innovation_norm
89,23.267000000,0.447058824,0.667628743,3.7831714,799.166054,3.84693138,0.00298102611,false,0.0030987458,0.0304868321,0.0306916319
90,23.467000000,0.452941176,0.643844246,12.6695022,701.179351,29.2314301,0.00387429535,false,0.00308312281,0.0297219168,0.0319335412
91,23.617000000,0.457352941,0.636071264,11.37418,3320.50623,28.0984293,0.00280330333,false,0.0032413555,0.0292800756,0.0323594555
92,23.767000000,0.461764706,0.639409882,19.0141112,2815.67445,34.3970519,0.00287530204,false,0.00263046072,0.0281677382,0.032444067
93,23.967000000,0.467647059,0.833252018,19.6333115,5148.03789,27.3102602,0.00380318673,false,0.00322867463,0.0279202432,0.0335416742
94,24.117000000,0.472058824,0.682243455,30.0141576,4118.47064,37.752134,0.00439043004,false,0.00296760645,0.0279197967,0.0336181763
95,24.317000000,0.477941176,0.623819216,38.1793052,4220.51917,25.758041,0.00167929404,false,0.00353928534,0.0258077052,0.0362355828
96,24.467000000,0.482352941,0.926802208,28.0531736,7223.63516,10.4467524,0.00391994148,false,0.00271800125,0.0254319468,0.0355398259
97,24.617000000,0.486764706,0.860181072,25.6105941,5983.4001,14.2572066,0.00428329338,false,0.0017156521,0.0247639899,0.034904971
98,24.817000000,0.492647059,0.65517024,15.6826546,5486.82457,3.28965221,0.00424236856,false,0.00212943667,0.0244873324,0.0358257314
99,24.967000000,0.497058824,0.650139258,23.6345508,5695.08229,42.2922825,0.00268666407,false,0.00260072975,0.023830744,0.0365072118
100,25.167000000,0.502941176,0.891984246,38.5512177,2814.0172,23.3020169,0.00415545261,false,0.00296174319,0.023292036,0.0372912124
101,25.317000000,0.507352941,1.01082446,16.8372891,5301.89673,10.4403238,0.00461907569,false,0.00165080465,0.0221740295,0.0357738981
102,25.517000000,0.513235294,0.977353736,15.7737408,2510.13177,12.8678088,0.00575551332,false,0.00105913915,0.0220661419,0.0347413965
